Id,category,Label
nm0108653,actor,Al Bridge
nm0823633,actor,Charles Starrett
nm0337083,actor,Donald Grayson
nm0421041,actor,Si Jenks
nm0130482,actor,Guillermo Calles
nm0874497,actor,Glenn Tryon
nm0926103,actor,Lloyd Whitlock
nm0570639,actor,Burr McIntosh
nm0586903,actor,Robert Milasch
nm0000859,actor,Lionel Barrymore
nm0517099,actor,John Lodge
nm0042067,actor,Antonio Aullón
nm0246445,actor,Fernando Díaz de Mendoza
nm0515739,actor,Fewlass Llewellyn
nm0250038,actor,Henry Edwards
nm0713495,actor,Fred Raynham
nm0003377,actor,Harry Langdon
nm0002154,actor,Alfred Abel
nm0725332,actor,Paul Richter
nm0903235,actor,Eduard von Winterstein
nm0010185,actor,Enrique Acosta
nm0231529,actor,Joe Dominguez
nm0134831,actor,Yakima Canutt
nm0382141,actor,Alfred Hewston
nm0568316,actor,Nelson McDowell
nm0001067,actor,Jackie Coogan
nm0070471,actor,Henry Bender
nm0082297,actor,Teddy Bill
nm0688480,actor,Anton Pointner
nm0092128,actor,Michael Bohnen
nm0347520,actor,Max Gülstorff
nm0826210,actor,Albert Steinrück
nm0130982,actor,Rafael Calvo
nm0835738,actor,John Stuart
nm0323757,actor,Alf Goddard
nm0942439,actor,Humberston Wright
nm0729294,actor,Javier de Rivera
nm0297054,actor,Gustav Fröhlich
nm0459030,actor,Rudolf Klein-Rogge
nm0695074,actor,Eduardo Prados
nm0815016,actor,Manuel Soriano
nm0422812,actor,José María Jimeno
nm0616419,actor,Guillermo Muñoz
nm0889024,actor,Charles Vanel
nm0613576,actor,Jean Murat
nm0550195,actor,Moore Marriott
nm0281686,actor,Ian Fleming
nm0105274,actor,Mickey Brantford
nm0913341,actor,Bryant Washburn
nm0605895,actor,Jay Morley
nm0509573,actor,Harry Liedtke
nm0468288,actor,Ivan Koval-Samborsky
nm0567756,actor,Francis McDonald
nm0226189,actor,William Dieterle
nm0354313,actor,William Haines
nm0049055,actor,William Bakewell
nm0834504,actor,Joseph Striker
nm0356228,actor,Winter Hall
nm0168595,actor,Lew Cody
nm0764346,actor,Tom Santschi
nm0710233,actor,Arthur Rankin
nm0294058,actor,Charles K. French
nm0832011,actor,Lewis Stone
nm0400763,actor,Lloyd Hughes
nm0831736,actor,Arthur Stone
nm0524859,actor,Jack Luden
nm0111612,actor,Clive Brook
nm0336770,actor,Lawrence Gray
nm0367928,actor,Kazuo Hasegawa
nm0056180,actor,Ricardo Baroja
nm0075170,actor,Joaquín Bergía
