Source,Target,Weight
nm0000587,nm0007042,2
nm0000587,nm0297450,2
nm0000587,nm0712731,2
nm0000596,nm0001123,2
nm0000597,nm0001967,2
nm0000598,nm0001283,2
nm0000606,nm0002010,3
nm0000608,nm0000885,3
nm0000608,nm0001123,5
nm0000608,nm0001164,2
nm0000615,nm0646943,2
nm0000615,nm0912001,2
nm0000616,nm0722221,2
nm0000619,nm0001606,2
nm0000621,nm0557956,2
nm0000633,nm0001101,2
nm0000638,nm0001150,5
nm0000638,nm0001420,5
nm0000652,nm0001597,2
nm0000653,nm0000996,2
nm0000653,nm0001772,2
nm0000655,nm0001729,2
nm0000662,nm0001617,3
nm0000664,nm0001367,3
nm0000665,nm0001729,2
nm0000686,nm0001606,2
nm0000693,nm0641397,2
nm0000696,nm0470182,2
nm0000698,nm0001640,3
nm0000732,nm0001099,2
nm0000747,nm0000979,2
nm0000747,nm0002025,2
nm0000809,nm0001641,2
nm0000809,nm0529645,2
nm0000809,nm0547339,2
nm0000809,nm0598971,2
nm0000809,nm0688497,2
nm0000821,nm0004434,4
nm0000821,nm0149822,2
nm0000821,nm0244884,2
nm0000821,nm0332871,2
nm0000821,nm0438501,3
nm0000821,nm0451166,4
nm0000821,nm0576495,2
nm0000821,nm0695199,3
nm0000821,nm0700869,2
nm0000821,nm0707425,2
nm0000821,nm0802374,3
nm0000821,nm0894340,2
nm0000849,nm0351029,2
nm0000855,nm0000959,2
nm0000885,nm0001659,2
nm0000901,nm0894608,2
nm0000905,nm0033420,2
nm0000905,nm0684952,2
nm0000905,nm0873385,2
nm0000929,nm0371660,2
nm0000961,nm0492342,2
nm0000979,nm0002025,2
nm0000986,nm0001133,2
nm0000987,nm0004365,2
nm0000987,nm0745780,2
nm0000996,nm0001772,2
nm0001000,nm0003501,4
nm0001000,nm0124973,3
nm0001000,nm0395121,5
nm0001000,nm0598940,2
nm0001000,nm0665856,2
nm0001000,nm0798827,3
nm0001000,nm0909145,4
nm0001000,nm0922301,2
nm0001006,nm0280886,2
nm0001006,nm0506405,3
nm0001006,nm0859772,2
nm0001015,nm0929489,2
nm0001016,nm0039435,2
nm0001016,nm0191611,2
nm0001016,nm0375534,2
nm0001016,nm0538683,2
nm0001016,nm0830153,2
nm0001017,nm0593192,2
nm0001019,nm0124079,2
nm0001028,nm0001902,2
nm0001045,nm0001507,6
nm0001059,nm0249528,2
nm0001062,nm0007940,2
nm0001075,nm0001697,2
nm0001123,nm0339619,2
nm0001145,nm0002147,2
nm0001148,nm0284585,2
nm0001148,nm0593192,2
nm0001150,nm0001420,5
nm0001154,nm0095718,2
nm0001154,nm0416944,3
nm0001177,nm0629737,2
nm0001186,nm0001589,2
nm0001228,nm0593848,2
nm0001233,nm0004365,3
nm0001233,nm0818874,2
nm0001238,nm0515635,2
nm0001276,nm0715274,2
nm0001301,nm0039226,2
nm0001332,nm0001418,2
nm0001334,nm0827663,2
nm0001345,nm0324397,3
nm0001352,nm0817881,5
nm0001357,nm0576851,2
nm0001385,nm0001402,2
nm0001397,nm0859772,2
nm0001409,nm0681566,2
nm0001409,nm0784523,2
nm0001421,nm0001740,2
nm0001421,nm0002989,2
nm0001424,nm0818204,2
nm0001428,nm0172484,2
nm0001428,nm0506784,2
nm0001428,nm0903901,2
nm0001429,nm0038961,2
nm0001429,nm0879764,2
nm0001434,nm0001800,2
nm0001434,nm0001832,2
nm0001434,nm0431451,2
nm0001445,nm0001588,2
