Source,Target,Weight
nm0000004,nm0000101,2
nm0000008,nm0002145,2
nm0000009,nm0000564,2
nm0000009,nm0001322,2
nm0000009,nm0001811,2
nm0000009,nm0752813,2
nm0000018,nm0000044,2
nm0000018,nm0000053,2
nm0000018,nm0000078,3
nm0000018,nm0001313,2
nm0000018,nm0907480,2
nm0000020,nm0000071,3
nm0000020,nm0000078,2
nm0000020,nm0000348,2
nm0000020,nm0001229,2
nm0000020,nm0001673,2
nm0000020,nm0001847,2
nm0000020,nm0752813,2
nm0000024,nm0001958,2
nm0000027,nm0605923,2
nm0000032,nm0000336,3
nm0000032,nm0001421,2
nm0000032,nm0263052,2
nm0000032,nm0426062,2
nm0000034,nm0000056,2
nm0000034,nm0000308,2
nm0000044,nm0001128,2
nm0000044,nm0001847,2
nm0000044,nm0006890,2
nm0000044,nm0752813,3
nm0000045,nm0862875,2
nm0000048,nm0000472,2
nm0000048,nm0001637,3
nm0000051,nm0000063,2
nm0000051,nm0000336,3
nm0000051,nm0000963,3
nm0000051,nm0001703,2
nm0000051,nm0001725,2
nm0000051,nm0001831,2
nm0000051,nm0002075,2
nm0000051,nm0432007,2
nm0000051,nm0532290,2
nm0000051,nm0908919,2
nm0000052,nm0002094,2
nm0000052,nm0004462,2
nm0000052,nm0074125,2
nm0000052,nm0316284,2
nm0000052,nm0634159,2
nm0000052,nm0681566,3
nm0000052,nm0709951,3
nm0000052,nm0865575,3
nm0000052,nm0872689,2
nm0000053,nm0000348,2
nm0000053,nm0001016,2
nm0000053,nm0001509,2
nm0000053,nm0002145,2
nm0000056,nm0000064,2
nm0000056,nm0000602,2
nm0000056,nm0001510,4
nm0000056,nm0002131,2
nm0000057,nm0000060,2
nm0000057,nm0000549,2
nm0000057,nm0000634,2
nm0000059,nm0000323,2
nm0000060,nm0000063,2
nm0000060,nm0001725,2
nm0000062,nm0084642,2
nm0000062,nm0640023,2
nm0000063,nm0000323,2
nm0000063,nm0000564,2
nm0000069,nm0001509,5
nm0000069,nm0002017,3
nm0000069,nm0002035,3
nm0000069,nm0492444,2
nm0000071,nm0000078,3
nm0000071,nm0001421,2
nm0000071,nm0003104,2
nm0000071,nm0179148,2
nm0000076,nm0202120,2
nm0000078,nm0001380,2
nm0000078,nm0001511,2
nm0000078,nm0424565,2
nm0000078,nm0915618,2
nm0000080,nm0001626,2
nm0000080,nm0002131,2
nm0000086,nm0000359,2
nm0000086,nm0083234,2
nm0000086,nm0087126,2
nm0000086,nm0088396,3
nm0000086,nm0100186,2
nm0000086,nm0240015,2
nm0000086,nm0245934,2
nm0000086,nm0301556,4
nm0000086,nm0343766,2
nm0000086,nm0498876,3
nm0000086,nm0544786,3
nm0000086,nm0547440,2
nm0000086,nm0723823,2
nm0000086,nm0728208,2
nm0000086,nm0785664,3
nm0000086,nm0892891,2
nm0000090,nm0315116,2
nm0000090,nm0857352,2
nm0000092,nm0000416,3
nm0000092,nm0001037,3
nm0000092,nm0001589,2
nm0000095,nm0614526,2
nm0000095,nm0731634,2
nm0000125,nm0000323,2
nm0000125,nm0000846,2
nm0000125,nm0001321,2
nm0000125,nm0001417,2
nm0000125,nm0001727,2
nm0000125,nm0148041,2
nm0000125,nm0528224,2
nm0000142,nm0001812,2
nm0000142,nm0002231,2
nm0000142,nm0345340,2
nm0000142,nm0385757,2
nm0000142,nm0507212,4
nm0000142,nm0752751,2
nm0000148,nm0000434,2
nm0000154,nm0001950,2
nm0000163,nm0000842,2
nm0000163,nm0912001,2
nm0000165,nm0001747,2
nm0000165,nm0494432,2
nm0000172,nm0001018,2
nm0000197,nm0001136,3
nm0000197,nm0001642,2
nm0000197,nm0593192,2
nm0000230,nm0001835,2
nm0000230,nm0949350,2
nm0000277,nm0000537,2
nm0000277,nm0370144,3
nm0000308,nm0000987,2
nm0000308,nm0001511,2
nm0000313,nm0000885,2
nm0000313,nm0752813,2
nm0000314,nm0000537,2
nm0000314,nm0000989,2
nm0000314,nm0001128,2
nm0000314,nm0001673,2
nm0000316,nm0001123,2
nm0000323,nm0002145,2
nm0000323,nm0028674,3
nm0000323,nm0202638,2
nm0000323,nm0338210,2
nm0000323,nm0393028,2
nm0000328,nm0001657,2
nm0000328,nm0001868,2
nm0000329,nm0399007,2
nm0000329,nm0790925,4
nm0000329,nm0803298,3
nm0000329,nm0862875,3
nm0000329,nm0950528,2
nm0000334,nm0155578,2
nm0000336,nm0002011,2
nm0000348,nm0832415,2
nm0000367,nm0138405,2
nm0000367,nm0223033,2
nm0000367,nm0487022,2
nm0000367,nm0556215,2
nm0000367,nm0681566,5
nm0000380,nm0000661,2
nm0000380,nm0001001,3
nm0000380,nm0752813,2
nm0000393,nm0000493,2
nm0000393,nm0001023,2
