Source,Target,Weight
nm0000001,nm0000068,2
nm0000001,nm0001078,2
nm0000001,nm0002143,3
nm0000001,nm0070361,2
nm0000001,nm0492444,2
nm0000001,nm0505157,2
nm0000001,nm0604656,2
nm0000001,nm0943978,2
nm0000007,nm0000010,3
nm0000007,nm0000034,2
nm0000007,nm0000064,5
nm0000007,nm0001366,2
nm0000007,nm0001647,2
nm0000007,nm0002011,2
nm0000007,nm0002113,2
nm0000007,nm0002285,4
nm0000007,nm0071636,3
nm0000007,nm0107575,2
nm0000007,nm0187981,2
nm0000007,nm0356890,2
nm0000007,nm0420765,2
nm0000007,nm0447913,2
nm0000007,nm0514344,2
nm0000007,nm0533692,2
nm0000007,nm0557339,2
nm0000007,nm0604605,2
nm0000007,nm0605923,2
nm0000007,nm0606998,3
nm0000007,nm0706368,2
nm0000007,nm0806041,2
nm0000008,nm0001500,2
nm0000010,nm0000897,2
nm0000010,nm0002118,2
nm0000010,nm0002285,8
nm0000010,nm0187981,2
nm0000010,nm0260020,2
nm0000010,nm0420765,5
nm0000010,nm0452128,2
nm0000010,nm0570451,3
nm0000010,nm0694090,2
nm0000010,nm0936728,2
nm0000011,nm0000057,2
nm0000011,nm0000897,2
nm0000011,nm0000974,6
nm0000011,nm0001452,2
nm0000011,nm0001635,2
nm0000011,nm0001948,2
nm0000011,nm0002001,2
nm0000011,nm0002143,2
nm0000011,nm0035159,2
nm0000011,nm0101954,2
nm0000011,nm0151420,2
nm0000011,nm0356568,2
nm0000011,nm0439850,2
nm0000011,nm0510134,2
nm0000011,nm0557339,2
nm0000011,nm0579663,2
nm0000011,nm0706368,2
nm0000011,nm0822058,2
nm0000011,nm0848667,2
nm0000011,nm0867144,2
nm0000018,nm0000044,3
nm0000018,nm0000051,2
nm0000018,nm0000059,2
nm0000018,nm0000063,3
nm0000018,nm0447913,2
nm0000018,nm0829717,3
nm0000020,nm0000063,2
nm0000020,nm0000747,3
nm0000020,nm0000763,2
nm0000020,nm0000784,2
nm0000020,nm0001017,2
nm0000020,nm0002013,2
nm0000020,nm0140504,2
nm0000020,nm0172287,2
nm0000020,nm0533692,2
nm0000020,nm0657874,2
nm0000020,nm0838843,2
nm0000020,nm0929925,2
nm0000022,nm0000048,2
nm0000022,nm0000075,3
nm0000022,nm0000859,5
nm0000022,nm0000891,2
nm0000022,nm0175369,2
nm0000022,nm0260020,3
nm0000022,nm0380965,2
nm0000022,nm0388303,2
nm0000022,nm0439850,2
nm0000022,nm0579663,3
nm0000022,nm0593775,2
nm0000022,nm0604656,3
nm0000022,nm0654239,2
nm0000022,nm0682074,2
nm0000022,nm0832011,2
nm0000022,nm0867144,3
nm0000026,nm0000068,2
nm0000026,nm0000897,2
nm0000026,nm0001647,2
nm0000026,nm0002013,2
nm0000026,nm0002143,2
nm0000026,nm0036427,3
nm0000026,nm0118000,2
nm0000026,nm0362567,2
nm0000026,nm0642988,2
nm0000026,nm0681635,2
nm0000026,nm0682074,2
nm0000026,nm0749476,2
nm0000026,nm0827261,2
nm0000026,nm0867144,2
nm0000026,nm0941253,2
nm0000026,nm0950019,2
nm0000027,nm0370144,3
nm0000027,nm0662116,3
nm0000027,nm0696866,2
nm0000034,nm0000904,3
nm0000034,nm0001229,2
nm0000034,nm0002011,2
nm0000034,nm0002046,2
nm0000034,nm0102787,2
nm0000034,nm0322299,2
nm0000034,nm0545298,2
nm0000034,nm0852279,2
nm0000034,nm0876451,2
nm0000036,nm0002051,3
nm0000036,nm0249893,3
nm0000036,nm0329467,2
nm0000037,nm0000069,3
nm0000037,nm0004496,2
nm0000037,nm0926636,2
nm0000042,nm0000904,5
nm0000042,nm0002046,2
nm0000042,nm0028674,2
nm0000042,nm0130407,2
nm0000042,nm0218131,2
nm0000042,nm0445290,2
nm0000042,nm0634313,2
nm0000042,nm0696481,3
nm0000044,nm0000348,2
nm0000044,nm0001948,2
nm0000044,nm0179819,4
nm0000048,nm0000472,2
nm0000048,nm0001017,2
nm0000048,nm0002113,5
nm0000048,nm0002134,2
nm0000048,nm0002161,2
nm0000048,nm0065288,2
nm0000048,nm0065975,2
nm0000048,nm0355755,2
nm0000048,nm0367111,2
nm0000048,nm0380965,2
nm0000048,nm0510134,2
nm0000048,nm0831889,2
nm0000050,nm0555597,13
nm0000050,nm0555617,14
nm0000050,nm0555688,2
nm0000051,nm0001289,2
nm0000051,nm0001336,2
nm0000051,nm0129894,2
nm0000051,nm0362567,2
nm0000051,nm0493347,2
nm0000051,nm0522577,4
nm0000051,nm0628579,3
nm0000051,nm0665902,2
