Id,Label
nm0517895,Helmuth Lohner
nm0000008,Marlon Brando
nm0208375,Peppino De Filippo
nm0865575,Ugo Tognazzi
nm0264770,Franco Fabrizi
nm0244849,Paul Guers
nm0239660,Jacques Duby
nm0404021,Olivier Hussenot
nm0114140,Lowell Brown
nm0001181,Jack Elam
nm0077872,Fred Bertelmann
nm0917076,Peter Weck
nm0874502,Tom Tryon
nm0184781,Darry Cowl
nm0562841,Alfredo Mayo
nm0671559,Julio Peña
nm0704719,Francisco Rabal
nm0953400,Manuel Zarzo
nm0726153,Gerhard Riedmann
nm0814355,Hans Söhnker
nm0542063,Nino Manfredi
nm0154804,Andrea Checchi
nm0853732,Gianrico Tedeschi
nm0007098,Paul Hubschmid
nm0721195,Walther Reyer
nm0391485,Claus Holm
nm0395240,Miroslav Hornícek
nm0111003,Vlastimil Brodský
nm0856187,Laurent Terzieff
nm0752297,Martin Ruzek
nm0753590,Vladimír Ráz
nm0223384,Rudolf Deyl
nm0370144,Jack Hawkins
nm0665902,Nigel Patrick
nm0515193,Roger Livesey
nm0000277,Richard Attenborough
nm0297258,Matthias Fuchs
nm0581042,Ismael Merlo
nm0133257,José Campos
nm0378807,Leszek Herdegen
nm0106653,Eduard Bredun
nm0726546,George Rigaud
nm0042900,Jaime Avellán
nm0523484,Javier Loyola
nm0555494,Jaroslav Marvan
nm0660440,Jirí Papez
nm0623971,Milos Nedbal
nm0126559,László Bánhidi
nm0059896,Zoltán Basilides
nm0126607,Lajos Básti
nm0350579,György Györffy
nm0041509,Michel Auclair
nm0785771,Jean Servais
nm0350826,Raymond Gérôme
nm0617875,Gunnar Möller
nm0776711,Erik Schumann
nm0404665,Robert Hutton
nm0323798,John Goddard
nm0177949,Clancy Cooper
nm0810550,Innokentiy Smoktunovskiy
nm0515106,Vasiliy Livanov
nm0881708,Evgeniy Urbanskiy
nm0554959,Adalberto Martínez
nm0419331,José Jasso
nm0666304,Lee Patterson
nm0245945,Peter Dyneley
nm0147204,Robert Cawdron
nm0724732,Ralph Richardson
nm0627453,John Neville
nm0798219,António Silva
nm0818819,Antônio Spina
nm0495905,Goyo Lebrero
nm0413561,Gordon Jackson
nm0018776,Terence Alexander
nm0157739,Feng Chin
nm0598603,Manuel Monroy
nm0670591,Manuel Peiró
nm0409149,Yin Wang
nm0943469,Klausjürgen Wussow
nm0755697,Karl-Georg Saebisch
nm0017530,Thomas Alder
nm0000063,Anthony Quinn
nm0000564,Peter O'Toole
nm0321407,Carlo Giustini
nm0271417,Tom Felleghy
nm0525654,Oldrich Lukes
nm0532672,Ignacy Machowski
nm0648681,Julius Ongewe
nm0818433,Renato Speziali
nm0132135,Carlo Campanini
nm0729889,Gianni Rizzo
nm0396136,Robert Hossein
nm0605059,Terence Morgan
nm0654089,Bill Owen
nm0353916,Jess Hahn
nm0234767,Van Doude
nm0083910,Paul Bisciglia
nm0858865,Georg Thomas
nm0676729,Werner Peters
nm0775650,Ernst Schröder
nm0197108,Paul Dahlke
nm0894201,Michael Verhoeven
nm0004570,Sunil Dutt
nm0031428,Costache Antoniu
nm0147338,Jules Cazaban
nm0321296,Alexandru Giugaru
nm0000851,Lex Barker
nm0520859,Livio Lorenzon
nm0136051,Tony Carbajal
nm0593192,Cameron Mitchell
nm0527017,John Lupton
nm0110917,Steve Brodie
nm0097449,Dieter Borsche
nm0033007,Ángel Aranda
nm0003337,Karlheinz Böhm
nm0593775,Thomas Mitchell
nm0932270,Austin Willis
nm0000051,James Mason
nm0001695,George Sanders
nm0426799,Oliver Johnston
nm0097355,Antonio Borrero 'Chamaco'
nm0167070,Alberto Closas
nm0001120,Vittorio De Sica
nm0004625,Daniel Gélin
nm0418111,Horst Janson
nm0163588,Aimé Clariond
nm0784526,Joe Sentieri
nm0147983,Adriano Celentano
nm0903971,Lazar Vrabie
nm0162979,Liviu Ciulei
nm0162958,Stefan Ciubotarasu
nm0701675,Július Pántik
nm0810860,Bohumil Smída
nm0599965,Aldo Monti
nm0701660,György Pálos
nm0124546,Sergio Bustamante
nm0432007,Curd Jürgens
nm0007042,Herbert Lom
nm0105482,Pierre Brasseur
nm0726777,Alexandre Rignault
nm0893103,Václav Venhoda
nm0561610,Frantisek Maxián
nm0515369,Milan Livora
nm0099429,Daniel Boulanger
nm0400142,Henri-Jacques Huet
nm0190616,Lajos Cs. Németh
nm0844274,István Sztankay
nm0837689,Sándor Suka
nm0297054,Gustav Fröhlich
nm0928148,Claus Wilcke
nm0551288,Adolfo Marsillach
nm0590956,Nico Minardos
nm0724111,Grant Richards
nm0176773,Russ Conway
nm0930695,Grant Williams
nm0223290,Brad Dexter
nm0228718,Robert Dix
nm0378517,Charles Herbert
nm0590398,Martin Milner
nm0001336,Van Heflin
nm0023221,Enrique Diosdado
nm0895715,Raimondo Vianello
nm0162179,Antonio Cifariello
nm0728376,Roberto Risso
nm0006348,Rajendra Kumar
nm0576490,Raj Mehra
nm0839129,Sunder
nm0171640,Manuel Collado
nm0430300,Ángel Jordán
nm0000052,Marcello Mastroianni
nm0709704,Tony Randall
nm0388155,Eddie Hodges
nm0600911,Archie Moore
nm0359894,Roger Hanin
nm0597816,Pierre Mondy
nm0197592,Robert Dalban
nm0900950,Peter Vogel
nm0765169,Shukri Sarhan
nm0015658,Abdulsalam El-Nabulsi
nm0007781,Rushdi Abazah
nm0252823,Umar El-Hariri
nm0453523,Jin Kyu Kim
nm0297754,Jun Fujimaki
nm0297869,Kamatari Fujiwara
nm0622416,Yôsuke Natsuki
nm0755401,Keiji Sada
nm0000078,John Wayne
nm0001847,Richard Widmark
nm0002131,Laurence Harvey
nm0000811,Frankie Avalon
nm0001822,Robert Wagner
nm0001313,George Hamilton
nm0000042,Alan Ladd
nm0001627,Sidney Poitier
nm0201626,James Darren
nm0179148,Glenn Corbett
nm0027719,Kaj Andersson
nm0403856,Jan Erik Husbom
nm0424079,Tomas Johansson
nm0549650,Christian Marquand
nm0125904,Leonid Bykov
nm0340822,Aleksey Gribov
nm0069474,Yuri Belov
nm0350603,Miklós Gábor
nm0844141,Ádám Szirtes
nm0921659,Carl Wery
nm0287195,Bert Fortell
nm0304262,Shivaji Ganesan
nm0904494,B.M. Vyas
nm0448004,Douglas Kennedy
nm0341526,James Griffith
nm0872683,Ivan Triesault
nm0049975,Peter Baldwin
nm0329746,Claudio Gora
nm0362927,Mickey Hargitay
nm0784857,Massimo Serato
nm0271544,Hansjörg Felmy
nm0521438,Hanns Lothar
nm0424186,Karl John
nm0134594,Cantinflas
nm0304844,Ángel Garasa
nm0001958,Dirk Bogarde
nm0001072,Joseph Cotten
nm0185954,Michael Craig
nm0496866,Bernard Lee
nm0001536,Toshirô Mifune
nm0875465,Kôji Tsuruta
nm0442951,Seizaburô Kawazu
nm0000493,Jack Lemmon
nm0534045,Fred MacMurray
nm0001827,Ray Walston
nm0682726,Florin Piersic
nm0487847,Titus Laptes
nm0238252,Dorin Dron
nm0267551,Antal Farkas
nm0148061,Michael Forest
nm0938231,Frank Wolff
nm0556543,Walter Maslow
nm0003585,Gustav Knuth
nm0323615,Boy Gobert
nm0874868,Yin Tse
nm0752246,Wolf Ruvinskis
nm0006842,Julio Alemán
nm0799108,Armando Silvestre
nm0511826,Hans Lindgren
nm0474649,Jarl Kulle
nm0002158,Edvin Adolphson
nm0147785,Gösta Cederlund
nm0422967,Joselito
nm0703411,Cesáreo Quezadas 'Pulgarcito'
nm0675183,Louk Perry
nm0511591,Cor van der Linden
nm0100166,No Bours
nm0275213,Gabriele Ferzetti
nm0147436,Roberto Cañedo
nm0279472,Eddie Fisher
nm0157067,Walter Chiari
nm0117774,Tino Buazzelli
nm0040266,Nicky Atanasiu
nm0049382,T.S. Balaiah
nm0620630,M.N. Nambiar
nm0707901,M.G. Ramachandran
nm0611525,Gyanesh Mukherjee
nm0080369,Umanath Bhattacharya
nm0665785,François Patrice
nm0322379,Pyotr Glebov
nm0686836,Vsevolod Platov
nm0880761,Mikhail Ulyanov
nm0125909,Rolan Bykov
nm0007147,Dev Anand
nm0420092,Jeevan
nm0403827,Nasir Hussain
nm0297293,Joachim Fuchsberger
nm0003248,Fritz Rasp
nm0258382,Dieter Eppler
nm0523473,Raymond Loyer
nm0182009,Michele Cossu
nm0190985,Peppeddu Cuccu
nm0001588,Jack Palance
nm0738212,Guy Rolfe
nm0300064,Jean Gabin
nm0144889,Jacques Castelot
nm0664850,Dirch Passer
nm0819825,Ove Sprogøe
nm0080445,Bharat Bhushan
nm0151539,Chandrashekhar
nm0249855,Sam Edwards
nm0871440,Tony Travis
nm0106539,Peter Breck
nm0920119,Bob Wells
nm0163863,Dick Clark
nm0130286,Michael Callan
nm0411515,Galal Issa
nm0015652,Abdel Fatah Al Kasri
nm0001471,Jerry Lewis
nm0314778,Alex Gerry
nm0165667,Bob Clayton
nm0762370,Sonnie Sands
nm0001509,Dean Martin
nm0163939,Fred Clark
nm0289376,Eddie Foy Jr.
nm0680587,Leslie Phillips
nm0338901,Richard Greene
nm0330961,Marius Goring
nm0164967,Robert Clarke
nm0812453,Vladimir Sokoloff
nm0790096,Farid Shawqi
nm0001725,Omar Sharif
nm0330101,Colin Gordon
nm0179154,Harry H. Corbett
nm0817029,Randy Sparks
nm0285264,Dick Foran
nm0924964,Jesse White
nm0002085,Gert Fröbe
nm0525742,Wolfgang Lukschy
nm0498044,Kun Li
nm0949966,Ralph Young
nm0075267,Gene Berk
nm0562535,William Mayer
nm0089235,Stephen Bloom
nm0586352,Shin'ichirô Mikami
nm0015609,Hiroshi Akutagawa
nm0406737,Raizô Ichikawa
nm0433150,James Robertson Justice
nm0250096,Jimmy Edwards
nm0397128,Arthur Howard
nm0846407,Sydney Tafler
nm0033901,Ramón Arcusa
nm0130756,Manuel de la Calva
nm0385019,Jacques Hilling
nm0685782,Sacha Pitoëff
