Source,Target,Label,Weight
nm0147983,nm0595063,tt0080439,6
nm0075981,nm0788325,tt0080452,3
nm0001090,nm0075981,tt0080452,3
nm0000101,nm0001006,tt0080455,3
nm0000101,nm0000484,tt0080455,5
nm0644655,nm0749914,tt0080466,3
nm0094726,nm0749914,tt0080466,3
nm0720029,nm0899945,tt0080480,3
nm0000314,nm0496746,tt0080485,7
nm0001238,nm0562210,tt0080486,36
nm0261525,nm0562210,tt0080486,3
nm0001238,nm0127656,tt0080486,3
nm0000195,nm0000601,tt0080487,5
nm0000601,nm0236519,tt0080487,3
nm0523439,nm0691892,tt0080488,4
nm0785664,nm0865575,tt0080489,3
nm0688497,nm0785664,tt0080489,4
nm0200473,nm0688497,tt0080489,3
nm0049621,nm0521617,tt0080490,3
nm0219959,nm0280984,tt0080503,3
nm0166405,nm0280984,tt0080503,11
nm0290628,nm0684175,tt0080504,4
nm0159201,nm0862479,tt0080512,6
nm0365390,nm0918339,tt0080519,8
nm0001045,nm0001507,tt0080520,7
nm0399070,nm0838936,tt0080529,3
nm0393250,nm0399070,tt0080529,3
nm0155291,nm0838936,tt0080529,3
nm0155291,nm0393250,tt0080529,6
nm0393250,nm0838936,tt0080529,4
nm0526971,nm0817881,tt0080530,3
nm0284503,nm0817881,tt0080530,3
nm0165316,nm0843237,tt0080538,5
nm0476123,nm0494378,tt0080552,3
nm0407061,nm0544432,tt0080554,5
nm0324770,nm0544432,tt0080554,5
nm0324770,nm0407061,tt0080554,7
nm0102940,nm0953130,tt0080561,3
nm0653620,nm0860019,tt0080565,5
nm0284613,nm0477071,tt0080583,3
nm0477071,nm0659017,tt0080583,3
nm0477071,nm0648505,tt0080583,3
nm0648505,nm0659017,tt0080583,3
nm0097180,nm0787668,tt0080591,8
nm0093585,nm0587401,tt0080606,4
nm0179278,nm0587401,tt0080606,9
nm0024589,nm0587401,tt0080606,9
nm0093585,nm0179278,tt0080606,4
nm0024589,nm0093585,tt0080606,4
nm0024589,nm0179278,tt0080606,14
nm0000076,nm0771535,tt0080610,4
nm0350168,nm0583681,tt0080611,3
nm0044156,nm0755364,tt0080635,3
nm0160865,nm0939251,tt0080636,3
nm0007139,nm0844036,tt0080636,5
nm0000821,nm0004434,tt0080638,5
nm0000821,nm0080432,tt0080638,3
nm0000821,nm0434318,tt0080638,15
nm0080432,nm0434318,tt0080638,6
nm0092482,nm0129970,tt0080652,5
nm0092482,nm0548654,tt0080652,5
nm0129970,nm0548654,tt0080652,6
nm0000821,nm0802374,tt0080653,3
nm0000821,nm0015287,tt0080653,4
nm0000821,nm0451311,tt0080653,5
nm0015287,nm0451311,tt0080653,4
nm0004570,nm0534501,tt0080675,3
nm0490492,nm0497379,tt0080682,3
nm0000148,nm0001410,tt0080684,3
nm0000148,nm0000184,tt0080684,5
nm0000184,nm0001410,tt0080684,3
nm0002000,nm0155593,tt0080685,3
nm0155593,nm0939236,tt0080685,5
nm0490521,nm0864775,tt0080688,4
nm0261681,nm0654843,tt0080695,11
nm0261681,nm0654839,tt0080695,16
nm0654839,nm0654843,tt0080695,34
nm0637238,nm0702541,tt0080705,3
nm0068871,nm0504126,tt0080706,5
nm0369136,nm0514906,tt0080717,7
nm0714805,nm0897715,tt0080719,6
nm0661345,nm0897715,tt0080719,13
nm0073053,nm0897715,tt0080719,15
nm0207401,nm0897715,tt0080719,15
nm0661345,nm0714805,tt0080719,6
nm0073053,nm0714805,tt0080719,6
nm0207401,nm0714805,tt0080719,6
nm0073053,nm0661345,tt0080719,11
nm0207401,nm0661345,tt0080719,11
nm0227661,nm0416615,tt0080720,4
nm0230629,nm0832928,tt0080730,3
nm0477231,nm0509600,tt0080743,3
nm0276410,nm0501365,tt0080746,3
nm0950751,nm0950759,tt0080748,4
nm0000118,nm0384185,tt0080749,6
nm0192446,nm0566699,tt0080761,7
nm0192446,nm0413826,tt0080761,3
nm0413826,nm0566699,tt0080761,4
nm0002194,nm0042812,tt0080764,8
nm0002002,nm0297935,tt0080768,3
nm0004434,nm0004570,tt0080775,3
nm0473325,nm0516316,tt0080803,3
nm0554924,nm0953881,tt0080807,10
nm0155593,nm0160925,tt0080824,3
nm0273193,nm0616392,tt0080826,6
nm0013706,nm0273193,tt0080826,4
nm0145626,nm0273193,tt0080826,4
nm0273193,nm0613939,tt0080826,4
nm0013706,nm0616392,tt0080826,4
nm0145626,nm0616392,tt0080826,4
nm0613939,nm0616392,tt0080826,4
nm0013706,nm0145626,tt0080826,6
nm0013706,nm0613939,tt0080826,6
nm0145626,nm0613939,tt0080826,6
nm0005033,nm0161213,tt0080827,3
nm0005033,nm0482580,tt0080828,8
nm0005033,nm0388367,tt0080828,6
nm0005033,nm0490605,tt0080828,4
nm0005033,nm0938944,tt0080828,17
nm0482580,nm0490605,tt0080828,5
nm0482580,nm0938944,tt0080828,7
nm0388367,nm0938944,tt0080828,4
nm0490605,nm0938944,tt0080828,5
nm0152539,nm0641714,tt0080836,3
nm0313483,nm0382925,tt0080842,3
nm0945282,nm0949069,tt0080843,8
nm0038335,nm0949069,tt0080843,6
nm0545169,nm0731862,tt0080846,3
nm0258168,nm0621987,tt0080848,3
nm0258168,nm0576529,tt0080848,5
nm0006249,nm0154164,tt0080856,5
nm0126960,nm0317856,tt0080873,3
nm0126960,nm0143043,tt0080873,3
nm0307468,nm0317856,tt0080873,3
nm0143043,nm0307468,tt0080873,3
nm0143043,nm0317856,tt0080873,5
nm0005268,nm0937074,tt0080888,3
nm0648505,nm0656647,tt0080898,3
nm0002218,nm0545383,tt0080899,3
nm0002218,nm0126898,tt0080899,5
nm0052677,nm0149822,tt0080901,3
nm0052677,nm0795664,tt0080901,3
nm0234893,nm0860078,tt0080915,3
nm0001469,nm0193224,tt0080928,4
nm0412465,nm0695609,tt0080945,11
nm0002010,nm0504641,tt0080950,3
nm0000367,nm0001945,tt0080951,4
nm0000367,nm0342611,tt0080951,3
nm0066223,nm0150796,tt0080964,10
nm0066223,nm0396284,tt0080964,4
nm0150796,nm0396284,tt0080964,3
nm0001486,nm0696319,tt0080975,4
nm0473314,nm0838936,tt0080996,3
nm0284642,nm0896598,tt0080998,3
nm0002157,nm0081547,tt0081007,6
nm0383025,nm0406728,tt0081013,7
nm0150844,nm0943138,tt0081015,3
nm0562210,nm0894677,tt0081027,4
nm0001238,nm0894677,tt0081027,6
nm0320946,nm0899911,tt0081047,4
nm0135339,nm0899911,tt0081047,3
nm0654843,nm0657004,tt0081056,8
nm0654839,nm0657004,tt0081056,12
nm0562210,nm0714359,tt0081057,5
nm0001238,nm0714359,tt0081057,6
nm0000367,nm0681207,tt0081076,4
nm0000367,nm0486624,tt0081076,3
nm0002086,nm0548151,tt0081081,4
nm0002192,nm0785664,tt0081089,6
nm0557170,nm0889403,tt0081089,3
nm0226699,nm0548648,tt0081104,3
nm0803711,nm0883908,tt0081117,5
nm0273178,nm0349426,tt0081124,3
nm0349426,nm0576329,tt0081124,5
nm0022116,nm0487878,tt0081135,3
nm0000766,nm0548316,tt0081148,3
nm0000774,nm0346096,tt0081165,3
nm0473314,nm0862479,tt0081168,4
nm0473325,nm0862479,tt0081168,3
nm0159201,nm0473325,tt0081168,5
nm0553916,nm0553941,tt0081170,3
nm0051880,nm0553941,tt0081170,6
nm0344171,nm0720297,tt0081176,3
nm0000032,nm0381699,tt0081187,3
nm0346470,nm0716739,tt0081200,6
nm0125060,nm0795461,tt0081203,5
nm0150527,nm0676198,tt0081215,3
nm0150527,nm0676199,tt0081215,3
nm0676198,nm0676199,tt0081215,6
nm0398786,nm0497579,tt0081216,4
nm0002089,nm0622355,tt0081230,3
nm0549592,nm0599604,tt0081261,3
nm0599604,nm0869125,tt0081261,3
nm0549592,nm0869125,tt0081261,12
nm0341925,nm0487025,tt0081267,4
nm0008244,nm0591046,tt0081271,6
nm0003606,nm0634159,tt0081276,3
nm0040910,nm0793726,tt0081288,9
nm0793726,nm0945282,tt0081288,9
nm0038335,nm0793726,tt0081288,9
nm0535332,nm0793726,tt0081288,3
nm0040910,nm0535332,tt0081288,8
nm0535332,nm0945282,tt0081288,8
nm0038335,nm0535332,tt0081288,8
nm0349427,nm0718829,tt0081289,3
nm0246822,nm0524230,tt0081310,3
nm0002086,nm0332417,tt0081318,6
nm0002086,nm0522454,tt0081318,3
nm0332417,nm0522454,tt0081318,3
nm0716739,nm0892358,tt0081329,3
nm0484376,nm0714002,tt0081348,3
nm0119725,nm0449431,tt0081349,4
nm0361570,nm0398703,tt0081363,3
nm0361570,nm0579954,tt0081363,3
nm0398703,nm0579954,tt0081363,4
nm0398518,nm0579954,tt0081363,3
nm0139461,nm0643539,tt0081366,4
