Id,category,Label,Nationality
nm0022164,actor,Dimas Alonso,Inconnu
nm0029275,actor,Andrès,Inconnu
nm0031367,actor,Antonio,Inconnu
nm0023554,director,Maximo Giuseppe Alviani,Inconnu
nm0603882,writer,Armando Moreno,Inconnu
nm0049318,actor,Mircea Balaban,Romania
nm0098622,actor,Emil Botta,Inconnu
nm0546149,director,Manole Marcus,Inconnu
nm0586259,director,Iulian Mihu,Inconnu
nm0756314,writer,Alexandru Sahia,Inconnu
nm0580038,actor,Juanjo Menéndez,Inconnu
nm0013358,director,Victorio Aguado,Inconnu
nm0043828,writer,A. Ayet,Inconnu
nm0602704,writer,María Luz Morales,Inconnu
nm0179757,actor,Carlos Cores,Inconnu
nm0102749,director,Julio Bracho,Inconnu
nm0665643,writer,Alfonso Patiño Gómez,Inconnu
nm0244557,actor,Rafael Durán,Spain
nm0721158,actor,Roberto Rey,Chile
nm0613377,director,Manuel Mur Oti,Inconnu
nm0163470,writer,Noel Clarasó,Inconnu
nm0554904,writer,Manuel Martínez Remís,Inconnu
nm0721073,actor,Fernando Rey,Inconnu
nm0785459,actor,Pastor Serrador,Inconnu
nm0749596,director,Arturo Ruiz Castillo,Inconnu
nm0749597,writer,Manuel Ruiz Castillo,Inconnu
nm0118000,actor,Edgar Buchanan,USA
nm0186415,actor,Richard Crane,USA
nm0137650,actor,Spencer Carlisle,Inconnu
nm0739987,director,Charles R. Rondeau,Inconnu
nm0166265,writer,Stanley Clements,Inconnu
nm0558668,writer,Laura Jean Mathews,Inconnu
nm0595063,writer,Giuseppe Moccia,Inconnu
nm0846846,actor,Luciano Tajoli,Italy
nm0303077,actor,Nunzio Gallo,Italy
nm0188311,actor,Carlo Croccolo,Italy
nm0545217,director,Siro Marcellini,Inconnu
nm0144689,writer,Franco Castellano,Inconnu
nm0266488,writer,Gigliola Falluto,Inconnu
nm0343891,writer,Armando Grottini,Inconnu
nm0664270,actor,Jean-Claude Pascal,Inconnu
nm0131209,actor,Roberto Camardiel,Inconnu
nm0143030,actor,Antonio Casas,Inconnu
nm0049617,director,Alfonso Balcázar,Inconnu
nm0193785,writer,Miguel Cussó,Inconnu
nm0529876,actor,Carlos López Moctezuma,Inconnu
nm0708048,actor,Enrique Rambal,Inconnu
nm0529964,actor,Ignacio López Tarso,Inconnu
nm0350947,director,Emilio Gómez Muriel,Inconnu
nm0017855,writer,Julio Alejandro,Inconnu
nm0060628,writer,Luis G. Basurto,Inconnu
nm0008728,actor,Jorge Abian,Inconnu
nm0043914,actor,Juan Aymerich,Inconnu
nm0944573,director,Juan Xiol,Inconnu
nm0305777,writer,A. García Moro,Inconnu
nm0549951,writer,J. Marqués Castellanos,Inconnu
nm0679165,writer,Felip Peña,Inconnu
nm0418600,writer,Enrique Jardiel Poncela,Inconnu
nm0809967,director,Sid Smith,Inconnu
nm0257700,writer,Ken Englund,Inconnu
nm0765109,writer,Herbert Sargent,Inconnu
nm0288708,writer,George Fowler,Inconnu
nm0255425,writer,Guy Elmes,Inconnu
nm0117745,director,Wancang Bu,Inconnu
nm0540632,writer,Hector Malot,Inconnu
nm0943178,writer,Tieh-Yi Wu,Inconnu
nm0281012,actor,Bud Flanagan,Inconnu
nm0461677,actor,Teddy Knox,UK
nm0626314,actor,Jimmy Nervo,UK
nm0325007,actor,Jimmy Gold,UK
nm0346436,director,Val Guest,Inconnu
nm0372679,writer,Len Heath,Inconnu
nm0912888,writer,John Warren,Inconnu
nm0998983,actor,Ángel Macías,Inconnu
nm0111610,actor,Claudio Brook,Inconnu
nm0124947,director,Hugo Butler,Inconnu
nm0400015,writer,Edward Huebsch,Inconnu
nm0265761,actor,Eduardo Fajardo,Inconnu
nm0136579,director,René Cardona,Inconnu
nm0868531,writer,Adolfo Torres Portillo,Inconnu
nm0869117,writer,Carmen Toscano,Inconnu
nm0393025,director,István Homoki Nagy,Inconnu
nm0108491,actor,Antonio Bribiesca,Inconnu
nm0144496,actor,David Castañeda,Inconnu
nm0036843,actor,Manuel Aroca,Inconnu
nm0053900,actor,Inocencio Barbán,Spain
nm0273510,actor,Félix Fernández,Inconnu
nm0195885,director,Jaime D'Ors,Inconnu
nm0025107,director,Antonio del Amo,Inconnu
nm0535163,director,Esteban Madruga,Inconnu
nm0130417,writer,Juan Luis Calleja,Inconnu
nm0763803,actor,Santo,Inconnu
nm0179516,actor,Joaquín Cordero,Inconnu
nm0555627,actor,Jorge Marx,Inconnu
nm0652679,actor,Fernando Osés,Spain
nm0735904,director,Joselito Rodríguez,Inconnu
nm0952587,actor,Enrique Zambrano,Mexico
nm0409496,actor,Alberto Insua,Cuba
nm0627969,actor,Anthony Newley,Inconnu
nm0827137,actor,Robert Stephens,Inconnu
nm0104183,actor,Wilfrid Brambell,Inconnu
nm0400731,director,Ken Hughes,Inconnu
nm0883829,actor,Manuel 'Loco' Valdés,Inconnu
nm0700354,actor,Óscar Pulido,Mexico
nm0302143,director,Alejandro Galindo,Inconnu
nm0194745,writer,Pancho Córdova,Inconnu
nm0025874,writer,Raúl de Anda,Inconnu
nm0658522,actor,Ricardo Palmerola,Spain
nm0128405,actor,José María Caffarel,Inconnu
nm0407071,director,Miguel Iglesias,Inconnu
nm0758858,writer,Jaime Salom,Inconnu
nm0750968,actor,Tony Russel,Inconnu
nm0057637,actor,Baynes Barron,Inconnu
nm0867747,actor,Burt Topper,Inconnu
nm0627219,actor,Wolfgang Neuss,Inconnu
nm0618345,actor,Wolfgang Müller,Inconnu
nm0775120,actor,Günther Schramm,Germany
nm0025926,director,Géza von Cziffra,Inconnu
nm0660056,writer,Sergio Paolino,Inconnu
nm0799164,writer,Stello Silvestri,Inconnu
nm0081714,actor,Walter Brandi,Inconnu
nm0712248,actor,Isarco Ravaioli,Inconnu
nm0689838,director,Renato Polselli,Inconnu
nm0002759,writer,Ernesto Gastaldi,Inconnu
nm0670982,writer,Giuseppe Pellegrini,Inconnu
nm0910898,actor,George Wang,Inconnu
nm0581651,director,Renzo Merusi,Inconnu
nm0366361,writer,John Davis Hart,Inconnu
nm0547907,writer,Vinicio Marinucci,Inconnu
nm0678008,writer,Vittoriano Petrilli,Inconnu
nm0266949,actor,Sergio Fantoni,Inconnu
nm0740067,actor,Maurice Ronet,Inconnu
nm0659461,actor,Corrado Pani,Inconnu
nm0872689,director,Leopoldo Trieste,Inconnu
nm0490224,actor,Frank Latimore,Inconnu
nm0882237,actor,Saro Urzì,Italy
nm0457839,actor,John Kitzmiller,USA
nm0074966,director,Sergio Bergonzelli,Inconnu
nm0339811,writer,Frank Gregory,Inconnu
nm0864522,writer,Gualberto Titta,Inconnu
nm0201219,actor,Iurie Darie,Inconnu
nm0890539,actor,Grigore Vasiliu-Birlic,Romania
nm0029820,actor,Marcel Anghelescu,Romania
nm0029813,director,Anastasia Anghel,Inconnu
nm0899945,director,Gheorghe Vitanidis,Inconnu
nm0835366,writer,Alexandru Struteanu,Inconnu
nm0721031,actor,Alejandro Rey,Inconnu
nm0000634,actor,Peter Sellers,UK
nm0605923,actor,Robert Morley,Inconnu
nm0164050,actor,Jameson Clark,Inconnu
nm0187769,director,Charles Crichton,Inconnu
nm0862122,writer,James Thurber,Inconnu
nm0200272,writer,Monja Danischewsky,Inconnu
nm0656496,actor,Marcello Pagliero,Inconnu
nm0895644,actor,Boris Vian,Inconnu
nm0440924,director,Pierre Kast,Inconnu
nm0232540,writer,Jacques Doniol-Valcroze,Inconnu
nm0603179,writer,Alberto Moravia,Inconnu
nm0459778,actor,Paul Klinger,Inconnu
nm0827221,actor,Claude Stephenson,Inconnu
nm0033368,actor,Louis Arbessier,Inconnu
nm0584858,actor,Jean-Claude Michel,Inconnu
nm0500557,director,Erwin Leiser,Inconnu
nm0263645,actor,Jason Evers,Inconnu
nm0200012,actor,Anthony La Penna,Inconnu
nm0338018,director,Joseph Green,Inconnu
nm0138223,writer,Rex Carlton,Inconnu
nm0162597,actor,Dario Cipani,Inconnu
nm0952914,actor,Alessandro Zane,Inconnu
nm0172937,actor,Ignazio Colnaghi,Italy
nm0056447,actor,Toni Barpi,Italy
nm0952916,director,Angio Zane,Inconnu
nm0473228,actor,Hardy Krüger,Inconnu
nm0374919,actor,Martin Held,Germany
nm0000728,actor,Mario Adorf,Inconnu
nm0290955,actor,Horst Frank,Inconnu
nm0917751,director,Alfred Weidenmann,Inconnu
nm0717977,writer,Herbert Reinecker,Inconnu
nm0327606,actor,Eulalio González,Inconnu
nm0484401,actor,Rodolfo Landa,Inconnu
nm0812958,director,Julián Soler,Inconnu
nm0273348,writer,José María Fernández Unsáin,Inconnu
nm0889588,writer,Alfredo Varela,Inconnu
nm0035675,actor,David Armstrong,USA
nm0443836,actor,Charles Keane,Inconnu
nm0838166,actor,Joseph Sullivan,Inconnu
nm0202913,director,Harold David,Inconnu
nm0057379,writer,H.E. Barrie,Inconnu
nm0848910,actor,Germán Valdés,Inconnu
nm0001033,actor,Lon Chaney Jr.,USA
nm0067280,actor,Yerye Beirute,Inconnu
nm0306238,writer,Juan García,Inconnu
nm0297414,writer,Fernando de Fuentes,Inconnu
nm0001258,actor,James Garner,USA
nm0415591,actor,Dean Jagger,USA
nm0678928,director,Joseph Pevney,Inconnu
nm0168829,writer,Lenore J. Coffee,Inconnu
nm0362992,writer,Marion Hargrove,Inconnu
nm0370312,writer,Cameron Hawley,Inconnu
nm0654843,actor,Antonio Ozores,Inconnu
nm0748343,actor,Pepe Rubio,Inconnu
nm0622812,director,Agustín Navarro,Inconnu
nm0575887,writer,José Antonio Medrano,Inconnu
nm0000086,actor,Louis de Funès,Inconnu
nm0240015,actor,Pierre Dudan,Inconnu
nm0087126,actor,Francis Blanche,Inconnu
nm0723823,actor,Jean Richard,Inconnu
nm0060430,director,Jean Bastia,Inconnu
nm0200252,writer,Jean-Daniel Daninos,Inconnu
nm0513344,writer,Guy Lionel,Inconnu
nm0893341,actor,Lino Ventura,Inconnu
nm0000901,actor,Jean-Paul Belmondo,Inconnu
nm0197950,actor,Marcel Dalio,France
nm0767110,director,Claude Sautet,Inconnu
nm0320510,writer,José Giovanni,Inconnu
nm0418625,writer,Pascal Jardin,Inconnu
nm0700803,actor,Edmund Purdom,Inconnu
nm0000857,actor,John Drew Barrymore,Inconnu
nm0869645,director,Viktor Tourjansky,Inconnu
nm0728984,director,Giorgio Venturini,Inconnu
nm0198765,writer,Damiano Damiani,Inconnu
nm0508792,writer,Ugo Liberatore,Inconnu
nm0953413,writer,Federico Zardi,Inconnu
nm0273178,actor,Fernando Fernán Gómez,Inconnu
nm0133668,actor,Raúl Cancio,Spain
nm0664657,writer,Alfonso Paso,Inconnu
nm0347566,actor,Enrique Guitart,Spain
nm0034457,director,José María Argemí,Inconnu
nm0554466,writer,J. Martí Farreras,Inconnu
nm0125936,actor,Louis Byles,Inconnu
nm0567288,actor,George McCurdy,Inconnu
nm0027134,director,Marion Clayton Anderson,Inconnu
nm0853930,director,Rickard Tegström,Inconnu
nm0861453,writer,Alan Thornhill,Inconnu
nm0668019,actor,William Pawley Jr.,USA
nm0816332,actor,Jirí Sovák,Inconnu
nm0398703,actor,Rudolf Hrusínský,Inconnu
nm0517907,actor,Václav Lohniský,Inconnu
nm0387218,actor,Josef Hlinomaz,Inconnu
nm0294758,director,Martin Fric,Inconnu
nm0237319,writer,Jan Drda,Inconnu
nm0167962,actor,Germán Cobos,Inconnu
nm0554632,director,Eugenio Martín,Inconnu
nm0650463,writer,Emilio Orozco,Inconnu
nm0895937,writer,Antonio Vich,Inconnu
nm0013221,director,Philippe Agostini,Inconnu
nm0115657,director,Raymond Leopold Bruckberger,Inconnu
nm0494283,writer,Gertrud von Le Fort,Inconnu
nm0076111,writer,Georges Bernanos,Inconnu
nm0480454,actor,David Ladd,USA
nm0187981,actor,Donald Crisp,UK
nm0000942,actor,Theodore Bikel,Austria
nm0188536,actor,Max Croiset,Netherlands
nm0164044,director,James B. Clark,Inconnu
nm0653536,writer,Ouida,Inconnu
nm0792090,writer,Ted Sherdeman,Inconnu
nm0890315,writer,Jesús Vasallo,Inconnu
nm0142776,actor,Antonio Casal,Spain
nm0394541,actor,Manolo Morán,Inconnu
nm0896065,actor,Jorge Vico,Inconnu
nm0658971,director,Clemente Pamplona,Inconnu
nm0007584,writer,Francisco Abad,Inconnu
nm0583825,writer,Miguel Mezquíriz,Inconnu
nm0610997,writer,Federico Muelas,Inconnu
nm0651039,actor,Óscar Ortiz de Pinedo,Inconnu
nm0050048,director,Rafael Baledón,Inconnu
nm0757706,writer,José Salazar,Inconnu
nm0689255,actor,Vitali Politseymako,Russia]
nm0412059,actor,Mikhail Ivanov,Russian Empire
nm0616268,director,Yuri Muzykant,Inconnu
nm0711141,director,Natalya Rashevskaya,Inconnu
nm0331003,writer,Maxim Gorky,Inconnu
nm0681566,actor,Michel Piccoli,Inconnu
nm0898789,actor,Yves Vincent,Inconnu
nm0449245,director,Jean Kerchner,Inconnu
nm0752178,writer,Jean-René Ruttinger,Inconnu
nm0306186,actor,Javier García,Inconnu
nm0759453,director,Rafael J. Salvia,Inconnu
nm0554706,writer,Miguel Martín,Inconnu
nm0078793,actor,Ferenc Bessenyei,Inconnu
nm0084496,actor,Tibor Bitskey,Inconnu
nm0058278,actor,Béla Barsi,Inconnu
