Id,category,Label
nm0157971,actor,Paul Chun
nm0803298,actor,Siu-Tin Yuen
nm0398849,director,Tien-Yung Hsu
nm0398745,actor,Tien-Hsiang Lung
nm0762805,director,Jorge Sanjinés
nm0657290,writer,Beatriz Palacios
nm0109286,actor,Peter Brikmanis
nm0184292,actor,Jacques Couture
nm0330367,actor,Kenneth Gordon
nm0413945,director,Philip Jackson
nm0210421,writer,Gabrielle De Montmollin
nm0502987,director,Po-Chih Leong
nm0150958,writer,Joyce Chan
nm0401204,actor,Ricky Hui
nm0000247,director,John Woo
nm0509599,actor,Hung-Lieh Chen
nm0938975,actor,Carter Wong
nm0848903,actor,Tao-Liang Tan
nm0157864,director,Cheng Hou
nm1002222,writer,C.Y. Yang
nm0399007,actor,Jang-Lee Hwang
nm0394547,actor,Roy Horan
nm0628838,director,See-Yuen Ng
nm0005033,director,Sammo Kam-Bo Hung
nm0477035,director,Corey Yuen
nm0786891,director,Delphine Seyrig
nm0006489,actor,Nikolay Rybnikov
nm0451419,actor,Aleksandr Kharashkevich
nm0792869,director,Igor Sheshukov
nm0488814,actor,Keith Larsen
nm0000334,actor,Chow Yun-Fat
nm0160925,director,Kuen Yeung
nm0863839,writer,Tin Leung
nm0444343,actor,Sau-Kei Lee
nm0891830,actor,Gonzalo Vega
nm0645327,actor,Manuel Ojeda
nm0379445,director,Jaime Humberto Hermosillo
nm0862479,actor,Lung Ti
nm0398771,director,Hsueh-Li Pao
nm0149222,writer,Louis Cha
nm0423053,actor,Sergio Jiménez
nm0733352,actor,Jorge Humberto Robles
nm0430858,director,Alfredo Joskowicz
nm0148755,actor,Saturno Cerra
nm0174289,actor,Fabián Conde
nm0070266,actor,Arturo Benavides
nm0095108,actor,César Bono
nm0167952,actor,Roberto Cobo
nm0209349,actor,Eduardo de la Peña
nm0327950,director,Rogelio A. González
nm0136061,writer,Emilio Carballido
nm0001637,actor,Vincent Price
nm0913176,director,Fred Warshofsky
nm0000348,actor,Tony Curtis
nm0001283,actor,Louis Gossett Jr.
nm0006893,actor,John Vernon
nm0004654,director,Nicolas Gessner
nm0020022,writer,Ted Allan
nm0670806,writer,Pierre Pelegri
nm0934634,writer,Richard Winckler
nm0504973,actor,Alex Man
nm0594226,actor,Kiu Wai Miu
nm0839288,director,Chin-Lai Sung
nm0530903,actor,Yuk-Sing Ma
nm0465062,actor,Tao Chiang
nm0496968,actor,Lik Cheung
nm0001866,actor,Bolo Yeung
nm0875571,director,Lu Po Tu
nm0701124,actor,Tamás Puskás
nm0350619,actor,László Gálffi
nm0844141,actor,Ádám Szirtes
nm0261977,director,Károly Esztergályos
nm0155009,writer,Anton Chekhov
nm0017062,actor,Mircea Albulescu
nm0176033,actor,Costel Constantin
nm0199379,director,Mircea Daneliuc
nm0458124,actor,Daniel Klaaß
nm0406134,director,Wolfgang Hübner
nm0392674,writer,Gerhard Holtz-Baumert
nm0478085,writer,Wera Küchenmeister
nm0651807,actor,Per Oscarsson
nm0535861,actor,Patrick Magee
nm0696810,actor,Brendan Price
nm0283241,director,Calvin Floyd
nm0283304,writer,Yvonne Floyd
nm0494257,writer,Sheridan Le Fanu
nm0712731,actor,Aldo Ray
nm0551234,actor,William Marshall
nm0585256,actor,Terry Michos
nm0426157,actor,Russell Johnson
nm0284075,director,Lawrence David Foldes
nm0250039,writer,Henry Edwards
nm0187176,writer,Tony Crechales
nm0365835,actor,Richard Harrison
nm0061608,director,Luigi Batzella
nm0996016,writer,Fan Pan
nm0665981,actor,Stefano Patrizi
nm0043934,actor,Miguel Ayones
nm0350990,director,Luis Gómez Valdivieso
nm0769249,writer,Furio Scarpelli
nm0953301,writer,Bernardino Zapponi
nm0151655,actor,Chan-Peng Chang
nm0297143,actor,Sheng Fu
nm0514906,actor,Chia-Liang Liu
nm0537301,actor,Te-Lo Mai
nm0162502,actor,Luís Miguel Cintra
nm0798189,actor,Jorge Silva Melo
nm0733846,director,Paulo Rocha
nm0210463,writer,Wenceslau De Moraes
nm0359724,writer,Sumiko Haneda
nm0626628,writer,Luiza Neto Jorge
nm0706459,actor,Tony Raggetti
nm0707726,actor,Aldo Ralli
nm0759757,actor,Aldo Sambrell
nm0080636,director,Mario Bianchi
nm0678031,writer,Luigi Petrini
nm0110965,actor,Ed Brodow
nm0176227,actor,Don Conte
nm0919103,director,Matthias Weiss
nm0255196,writer,Harlan Ellison
nm0497097,actor,Danny Lee
nm0284608,actor,Feng Tien
nm0150839,director,Chuan Chen
nm0455183,actor,Biu Gam
nm0387360,actor,Pak-Kwong Ho
nm0192576,actor,Eduard Cupák
nm0579844,actor,Vladimír Mensík
nm0882972,actor,Lukás Vaculík
nm0229352,actor,Michal Dlouhý
nm0652765,writer,Jan Otcenásek
nm0435794,writer,Vladimír Kalina
nm0918993,actor,George David Weiss
nm0133701,actor,Michael A. Candela
nm0614031,director,Giuseppe Murolo
nm0799108,actor,Armando Silvestre
nm0187671,director,Alfredo B. Crevenna
nm0380448,writer,Juan Manuel Herrera
nm0558975,actor,Olivier Mathot
nm0001238,director,Jesús Franco
nm0779130,writer,Evelyne Scott
nm0054213,actor,Rafael Bardem Jr.
nm0881809,actor,Orlando Urdaneta
nm0142983,actor,Francisco Casares
nm0147451,director,Manuel Caño
nm0261949,actor,Cesáreo Estébanez
nm0576327,actor,Francisco Merino
nm0697514,actor,Barry Prima
nm0546315,actor,Johann Mardjono
nm0379216,actor,Rukman Herman
nm0310219,director,Sisworo Gautama Putra
nm0849850,writer,Imam Tantowi
nm0670964,actor,Raymond Pellegrin
nm0003909,actor,Michael Lonsdale
nm0012734,actor,Yves Afonso
nm0659739,director,Robert Pansard-Besson
nm0248395,writer,Jean Echenoz
nm0895669,actor,Henrique Viana
nm0311217,director,Eduardo Geada
nm0696548,writer,Edgar Gonsalves Preto
nm0037188,actor,Enric Arredondo
nm0050966,actor,Mario Balmaseda
nm0305651,director,Julio García Espinosa
nm0597675,actor,Carlos Monctezuma
nm0435611,actor,Krzysztof Kalczynski
nm0525557,actor,Olgierd Lukaszewicz
nm0460145,director,Henryk Kluba
nm0637360,actor,Jerzy Nowak
