Id,category,Label
nm0317813,actor,Manuel Gil
nm0243749,actor,Antonio Durán
nm0649892,actor,José Orjas
nm0649563,director,Juan de Orduña
nm0720019,writer,Enrique Reoyo
nm0524001,writer,Juan Ignacio Luca de Tena
nm0848519,writer,Manuel Tamayo
nm0165312,actor,Claus Clausen
nm0363235,director,Veit Harlan
nm0105713,writer,Alfred Braun
nm0404158,actor,Walter Huston
nm0001379,director,John Huston
nm0442105,writer,Charles Kaufman
nm0007023,actor,José Luis López Vázquez
nm0019330,actor,Francisco Algora
nm0349426,director,Manuel Gutiérrez Aragón
nm0305869,writer,José Luis García Sánchez
nm0009736,actor,Miguel Aceves Mejía
nm0010162,actor,Armando Acosta
nm0554924,director,Gilberto Martínez Solares
nm0302055,writer,Fernando Galiana
nm0692180,writer,Julio Porter
nm0367706,actor,Russ Harvey
nm0574106,actor,William McNulty
nm0102124,director,Pat Boyette
nm0305239,writer,Henry Garcia
nm0545352,actor,Georges Marchal
nm0759763,actor,Mauro Sambucini
nm0872820,actor,Amedeo Trilli
nm0615893,director,Jeff Musso
nm0525074,writer,Christian Ludy
nm0519281,actor,Terence Longdon
nm0336579,actor,Donald Gray
nm0909614,actor,Dermot Walsh
nm0362823,actor,Robertson Hare
nm0935382,director,Michael Winner
nm0031975,actor,Imre Apáthi
nm0881588,actor,Tivadar Uray
nm0126547,director,Frigyes Bán
nm0198115,writer,Sándor Dallos
nm0468454,writer,András Kovács
nm0013487,actor,Antonio Aguilar
nm0135124,actor,Manuel Capetillo
nm0673740,actor,Emilio Pericoli
nm0037061,writer,Jesús María de Arozamena
nm0273211,writer,José María Fernández
nm0261576,writer,Blanca Estela Limón
nm0148974,actor,Gino Cervi
nm0632426,actor,Carlo Ninchi
nm0667613,actor,Nino Pavese
nm0685609,director,Mario Pisu
nm0220383,writer,Arpad DeRiso
nm0346705,writer,Ernesto Guida
nm0033475,actor,Manuel Arbó
nm0076662,actor,Enrique Bernedo
nm0130982,actor,Rafael Calvo
nm0182913,director,Vittorio Cottafavi
nm0897340,director,Domingo Viladomat
nm0091406,writer,José Rodulfo Boeta
nm0275146,writer,Alessandro Fersen
nm0315786,writer,Riccardo Ghione
nm0092290,actor,Curt Bois
nm0257269,actor,Heinz Engelmann
nm0146709,director,Alberto Cavalcanti
nm0106517,writer,Bertolt Brecht
nm0943362,writer,Hella Wuolijoki
nm0694792,writer,Vladimir Pozner
nm0927279,writer,Ruth Wieden
nm0737924,actor,Gustavo Rojo
nm0130952,actor,José Calvo
nm0305829,actor,Antonio García Quijada
nm0840733,writer,José Suárez Carreño
nm0000784,actor,Pedro Armendáriz
nm0272979,actor,Jaime Fernández
nm0273477,director,Emilio Fernández
nm0305885,writer,Rafael García Travesi
nm0882366,writer,Rodolfo Usigli
nm0284822,actor,Jeffrey Stone
nm0729498,actor,Santiago Rivero
nm0537069,director,Barry Mahon
nm0868315,director,Ramón Torrado
nm0761138,actor,Fernando Sanclemente
nm0784718,actor,José Sepúlveda
nm0729676,actor,Georges Rivière
nm0410756,actor,José Isbert
nm0130955,actor,Juan Calvo
nm0038245,director,Carlos Arévalo
nm0599389,director,José Luis Monter
nm0179281,writer,Sergio Corbucci
nm0305697,writer,Jaime García Herranz
nm0103425,actor,Valet Bradley
nm0215496,actor,Ral del Castillo
nm0599435,actor,Jerónimo Montoro
nm0706575,director,Ubaldo Ragona
nm0953756,director,José Luis Zavala
nm0053541,writer,José Luis Barbero
nm0536007,writer,Alessandro Maggiora
nm0307468,actor,Antonio Garisa
nm0409421,actor,Franco Interlenghi
nm0054225,actor,Rafael Bardem
nm0709309,director,Pedro L. Ramírez
nm0430301,writer,Ángel A. Jordán
nm0168746,writer,Vicente Coello
nm0260474,writer,Vicente Escrivá
nm0109738,actor,Félix Briones
nm0035452,actor,Javier Armet
nm0303852,director,José Luis Gamboa
nm0348742,writer,Joaquín Gurruchaga
nm0554693,writer,Leonardo Martín
nm0583708,actor,Geronimo Meynier
nm0261795,actor,Carlos Estrada
nm0097953,actor,Andrea Bosic
nm0292720,director,Riccardo Freda
nm0000636,writer,William Shakespeare
nm0130922,actor,Armando Calvo
nm0495764,actor,Tony Leblanc
nm0728158,actor,Antonio Riquelme
nm0459567,director,León Klimovsky
nm0764373,writer,José Santugini
nm0065596,actor,Terry Becker
nm0895259,actor,Bruno VeSota
nm0003203,director,Mel Welles
nm0012429,writer,Allan Adrian
nm0864814,writer,Norman Toback
nm0131939,actor,Francisco Camoiras
nm0855359,actor,Ángel Ter
nm0639280,director,Ricardo Núñez
nm0036298,writer,Carlos Arniches
nm0868760,writer,Mauricio Torres
nm0734624,actor,José María Rodero
nm0260469,actor,Javier Escrivá
nm0286449,director,Josep Maria Forn
nm0734988,writer,Paulino Rodrigo Díaz
nm0022164,actor,Dimas Alonso
nm0029275,actor,Andrès
nm0031367,actor,Antonio
nm0023554,director,Maximo Giuseppe Alviani
nm0603882,writer,Armando Moreno
nm0049318,actor,Mircea Balaban
nm0098622,actor,Emil Botta
nm0546149,director,Manole Marcus
nm0586259,director,Iulian Mihu
nm0756314,writer,Alexandru Sahia
nm0580038,actor,Juanjo Menéndez
nm0013358,director,Victorio Aguado
nm0043828,writer,A. Ayet
nm0602704,writer,María Luz Morales
nm0179757,actor,Carlos Cores
nm0102749,director,Julio Bracho
nm0665643,writer,Alfonso Patiño Gómez
nm0244557,actor,Rafael Durán
nm0721158,actor,Roberto Rey
nm0613377,director,Manuel Mur Oti
nm0163470,writer,Noel Clarasó
nm0554904,writer,Manuel Martínez Remís
nm0721073,actor,Fernando Rey
nm0785459,actor,Pastor Serrador
nm0749596,director,Arturo Ruiz Castillo
nm0749597,writer,Manuel Ruiz Castillo
nm0118000,actor,Edgar Buchanan
nm0186415,actor,Richard Crane
nm0137650,actor,Spencer Carlisle
nm0739987,director,Charles R. Rondeau
nm0166265,writer,Stanley Clements
nm0558668,writer,Laura Jean Mathews
nm0595063,writer,Giuseppe Moccia
nm0846846,actor,Luciano Tajoli
nm0303077,actor,Nunzio Gallo
nm0188311,actor,Carlo Croccolo
nm0545217,director,Siro Marcellini
nm0144689,writer,Franco Castellano
nm0266488,writer,Gigliola Falluto
nm0343891,writer,Armando Grottini
nm0664270,actor,Jean-Claude Pascal
nm0131209,actor,Roberto Camardiel
nm0143030,actor,Antonio Casas
nm0049617,director,Alfonso Balcázar
nm0193785,writer,Miguel Cussó
nm0529876,actor,Carlos López Moctezuma
nm0708048,actor,Enrique Rambal
nm0529964,actor,Ignacio López Tarso
nm0350947,director,Emilio Gómez Muriel
nm0017855,writer,Julio Alejandro
nm0060628,writer,Luis G. Basurto
nm0008728,actor,Jorge Abian
nm0043914,actor,Juan Aymerich
nm0944573,director,Juan Xiol
nm0305777,writer,A. García Moro
nm0549951,writer,J. Marqués Castellanos
nm0679165,writer,Felip Peña
nm0418600,writer,Enrique Jardiel Poncela
nm0809967,director,Sid Smith
nm0257700,writer,Ken Englund
nm0765109,writer,Herbert Sargent
nm0288708,writer,George Fowler
nm0255425,writer,Guy Elmes
nm0117745,director,Wancang Bu
nm0540632,writer,Hector Malot
nm0943178,writer,Tieh-Yi Wu
nm0281012,actor,Bud Flanagan
nm0461677,actor,Teddy Knox
nm0626314,actor,Jimmy Nervo
nm0325007,actor,Jimmy Gold
nm0346436,director,Val Guest
nm0372679,writer,Len Heath
nm0912888,writer,John Warren
nm0998983,actor,Ángel Macías
nm0111610,actor,Claudio Brook
nm0124947,director,Hugo Butler
nm0400015,writer,Edward Huebsch
nm0265761,actor,Eduardo Fajardo
nm0136579,director,René Cardona
nm0868531,writer,Adolfo Torres Portillo
nm0869117,writer,Carmen Toscano
nm0393025,director,István Homoki Nagy
nm0108491,actor,Antonio Bribiesca
nm0144496,actor,David Castañeda
nm0036843,actor,Manuel Aroca
nm0053900,actor,Inocencio Barbán
nm0273510,actor,Félix Fernández
nm0195885,director,Jaime D'Ors
nm0025107,director,Antonio del Amo
nm0535163,director,Esteban Madruga
nm0130417,writer,Juan Luis Calleja
nm0763803,actor,Santo
nm0179516,actor,Joaquín Cordero
nm0555627,actor,Jorge Marx
nm0652679,actor,Fernando Osés
nm0735904,director,Joselito Rodríguez
nm0952587,actor,Enrique Zambrano
nm0409496,actor,Alberto Insua
nm0627969,actor,Anthony Newley
nm0827137,actor,Robert Stephens
nm0104183,actor,Wilfrid Brambell
nm0400731,director,Ken Hughes
nm0883829,actor,Manuel 'Loco' Valdés
nm0700354,actor,Óscar Pulido
nm0302143,director,Alejandro Galindo
nm0194745,writer,Pancho Córdova
nm0025874,writer,Raúl de Anda
nm0658522,actor,Ricardo Palmerola
nm0128405,actor,José María Caffarel
nm0407071,director,Miguel Iglesias
nm0758858,writer,Jaime Salom
nm0750968,actor,Tony Russel
nm0057637,actor,Baynes Barron
nm0867747,actor,Burt Topper
nm0627219,actor,Wolfgang Neuss
nm0618345,actor,Wolfgang Müller
nm0775120,actor,Günther Schramm
nm0025926,director,Géza von Cziffra
nm0660056,writer,Sergio Paolino
nm0799164,writer,Stello Silvestri
nm0081714,actor,Walter Brandi
nm0712248,actor,Isarco Ravaioli
nm0689838,director,Renato Polselli
nm0002759,writer,Ernesto Gastaldi
nm0670982,writer,Giuseppe Pellegrini
nm0910898,actor,George Wang
nm0581651,director,Renzo Merusi
nm0366361,writer,John Davis Hart
nm0547907,writer,Vinicio Marinucci
nm0678008,writer,Vittoriano Petrilli
nm0266949,actor,Sergio Fantoni
nm0740067,actor,Maurice Ronet
nm0659461,actor,Corrado Pani
nm0872689,director,Leopoldo Trieste
nm0490224,actor,Frank Latimore
nm0882237,actor,Saro Urzì
nm0457839,actor,John Kitzmiller
nm0074966,director,Sergio Bergonzelli
nm0339811,writer,Frank Gregory
nm0864522,writer,Gualberto Titta
nm0201219,actor,Iurie Darie
nm0890539,actor,Grigore Vasiliu-Birlic
nm0029820,actor,Marcel Anghelescu
nm0029813,director,Anastasia Anghel
nm0899945,director,Gheorghe Vitanidis
nm0835366,writer,Alexandru Struteanu
nm0721031,actor,Alejandro Rey
nm0000634,actor,Peter Sellers
nm0605923,actor,Robert Morley
nm0164050,actor,Jameson Clark
nm0187769,director,Charles Crichton
nm0862122,writer,James Thurber
nm0200272,writer,Monja Danischewsky
nm0656496,actor,Marcello Pagliero
nm0895644,actor,Boris Vian
nm0440924,director,Pierre Kast
nm0232540,writer,Jacques Doniol-Valcroze
nm0603179,writer,Alberto Moravia
nm0459778,actor,Paul Klinger
nm0827221,actor,Claude Stephenson
nm0033368,actor,Louis Arbessier
nm0584858,actor,Jean-Claude Michel
nm0500557,director,Erwin Leiser
nm0263645,actor,Jason Evers
nm0200012,actor,Anthony La Penna
nm0338018,director,Joseph Green
nm0138223,writer,Rex Carlton
nm0162597,actor,Dario Cipani
nm0952914,actor,Alessandro Zane
nm0172937,actor,Ignazio Colnaghi
nm0056447,actor,Toni Barpi
nm0952916,director,Angio Zane
nm0473228,actor,Hardy Krüger
nm0374919,actor,Martin Held
nm0000728,actor,Mario Adorf
nm0290955,actor,Horst Frank
nm0917751,director,Alfred Weidenmann
nm0717977,writer,Herbert Reinecker
nm0327606,actor,Eulalio González
nm0484401,actor,Rodolfo Landa
nm0812958,director,Julián Soler
nm0273348,writer,José María Fernández Unsáin
nm0889588,writer,Alfredo Varela
nm0035675,actor,David Armstrong
nm0443836,actor,Charles Keane
nm0838166,actor,Joseph Sullivan
nm0202913,director,Harold David
nm0057379,writer,H.E. Barrie
nm0848910,actor,Germán Valdés
nm0001033,actor,Lon Chaney Jr.
nm0067280,actor,Yerye Beirute
