Id,category,Label
nm0108653,actor,Al Bridge
nm0823633,actor,Charles Starrett
nm0337083,actor,Donald Grayson
nm0382954,actor,Russell Hicks
nm0170973,director,Charles C. Coleman
nm0795851,writer,Harold Shumate
nm0421041,actor,Si Jenks
nm0130482,actor,Guillermo Calles
nm0176472,actor,Miguel Contreras Torres
nm0874497,actor,Glenn Tryon
nm0926103,actor,Lloyd Whitlock
nm0570639,actor,Burr McIntosh
nm0185714,director,William James Craft
nm0218626,writer,Albert DeMond
nm0398464,writer,Harry O. Hoyt
nm0586903,actor,Robert Milasch
nm0876343,actor,Teuvo Tulio
nm0882795,director,Valentin Vaala
nm0642148,actor,Edward O'Neill
nm0839792,actor,Patrick Susands
nm0400638,director,Harry Hughes
nm0332994,writer,Sidney Gowing
nm0013934,actor,Patrick Aherne
nm0000859,actor,Lionel Barrymore
nm0517099,actor,John Lodge
nm0124877,director,David Butler
nm0175902,writer,William M. Conselman
nm0426531,writer,Anne Fellows Johnston
nm0953236,actor,Pablo Zapico
nm0225182,director,Joaquín Dicenta
nm0225183,writer,Joaquín Dicenta
nm0077209,actor,Adolfo Bernáldez
nm0145318,actor,Fred Solm
nm0212287,actor,Henri De Vries
nm0726729,director,Gennaro Righelli
nm0083532,writer,Leo Birinsky
nm0770486,writer,Werner Scheff
nm0894523,writer,Jules Verne
nm0369035,actor,Dick Hatton
nm0693055,director,Victor Potel
nm0034612,actor,Fernando Argüelles
nm0635341,director,Manuel Noriega
nm0554936,writer,Eduardo Martínez Torner
nm0670533,writer,Julio Peinado
nm0037887,actor,Juan Artigas
nm0037889,actor,Santiago Artigas
nm0273203,director,Eusebio Fernández Ardavín
nm0273204,writer,Luis Fernández Ardavín
nm0563139,actor,Maza
nm0042067,actor,Antonio Aullón
nm0168529,director,José Codornié
nm0162196,actor,Gerardo Cifrián
nm0328548,actor,José Gonzálvez
nm0246444,actor,Carlos Díaz de Mendoza
nm0246445,actor,Fernando Díaz de Mendoza
nm0130759,director,Antonio Calvache
nm0036298,writer,Carlos Arniches
nm0016051,actor,Manuel Alares
nm0208212,actor,Leo de Córdoba
nm0408658,actor,Luis Infiesta
nm0650448,actor,Alfonso Orozco
nm0721074,director,Florián Rey
nm0037082,writer,Carlos de Arpe
nm0701904,writer,Enrique Pérez Escrich
nm0701863,actor,Rafael Pérez Chaves
nm0882092,director,Eduardo Urriola
nm0736044,actor,Nicolás Rodríguez
nm0033452,actor,Carlos de Arbués
nm0526972,director,Rino Lupo
nm0515739,actor,Fewlass Llewellyn
